S2N,NPIX,CLOUDNUM,DISTANCE_PC,BEAMFWHM_PC,BEAMMAJ_PC,BEAMMIN_PC,RMSTORAD,PPBEAM,SIGCHAN_KMS,TMAX_K,XCTR_PIX,YCTR_PIX,VCTR_PIX,XCTR_DEG,YCTR_DEG,VCTR_KMS,XMAX_PIX,YMAX_PIX,VMAX_PIX,XMAX_DEG,YMAX_DEG,VMAX_KMS,MOMYPIX_NOEX,MOMYPIX,MOMVPIX_NOEX,MOMVPIX,MOMXPIX_NOEX,MOMXPIX,FLUX_NOEX,FLUX_KKMS_PC2,SIGV_KMS,MOMMAJPIX,MOMMAJPIX_NOEX,MOMMAJ_PC,MOMMAJ_NODC_PC,MOMMAJPIX_NODC,MOMMAJPIX_NODC_NOEX,MOMMINPIX,MOMMINPIX_NOEX,MOMMIN_PC,MOMMIN_NODC_PC,MOMMINPIX_NODC,MOMMINPIX_NODC_NOEX,POSANG,PA_DC,FWHM_MIN_DC,FWHM_MAJ_DC,RAD_PC,RAD_NOEX,RAD_NODC,RAD_NODC_NOEX,SIGV_NOEX,SIGV_NODC_NOEX,SIGV_NODC,ALPHA_CO,MLUM_MSUN,MVIR_MSUN
5.787045955657959,270,1,50000.0,1.6968478838829884,1.6968478838829884,1.6968478838829884,1.91,38.556535928728394,0.09973557011108974,1.1574091911315918,244.16316060821967,613.4706163684482,31.884474287289247,85.13582677251327,-69.64361568576244,207.97111857268,244,614,33,85.13598129271288,-69.64343903012933,208.2500000008877,1.796516547512628,2.030878129541111,1.814312890047991,2.1786762651540217,1.7894070745458441,2.203354781625429,2.9964212048874397,3.2146976687765516,0.5354598097803891,0.0,1.8792285005144866,0.0,0.6395313693594085,2.1985468998311974,1.8792285005144866,0.0,1.7023365198094234,0.0,0.59081068971288,2.0310575407058797,1.7023365198094231,0.8366158251881393,,,,,0.9937382067200526,1.1740550620207824,0.9937382067200524,0.4424771406932036,0.4535782225608028,0.5446690663471119,6.7,21.538474380802896,
6.126478672027588,277,2,50000.0,1.6968478838829884,1.6968478838829884,1.6968478838829884,1.91,38.556535928728394,0.09973557011108974,1.2252957820892334,164.4268766876852,316.42129413676935,65.51448637223108,85.21361879528101,-69.74251836452041,216.37862159482012,165,317,65,85.21306433668808,-69.74232639632034,216.2500000017485,1.7393638650890917,2.2161667754947625,1.4600938187164836,1.6946350562040347,1.7990673523977538,2.0950343646959406,3.330483196102717,4.0676981409786475,0.41175182385809744,0.0,1.8303823217189754,0.0,0.6375500159753462,2.191735508633353,1.8303823217189754,0.0,1.7063793687389337,0.0,0.6143119706332147,2.1118489932990787,1.706379368738934,2.6042639686023286,,,,,0.981902094766716,1.1953222037047704,0.9819020947667161,0.35113379009883094,0.3650234547183975,0.4236587640965944,6.7,27.25357754455694,
9.071669578552246,604,3,50000.0,1.6968478838829884,1.6968478838829884,1.6968478838829884,1.91,38.556535928728394,0.09973557011108974,1.8143339157104492,468.91932038086725,683.7216477042306,71.90319768949487,84.92045023296494,-69.62033622254856,217.97579942430792,469,684,72,84.92037298744032,-69.62024344041654,218.0000000019368,2.333363024687297,2.6020729682336996,2.0872638171895095,2.2607016100538764,1.9196002569255088,2.1805421697739127,7.986092503537672,8.617296938436919,0.5563057178652918,0.0,2.333101411932177,0.0,0.7570683690702299,2.602609341034865,2.3331014119321765,0.0,1.919918215238287,0.0,0.6340819120034432,2.179813045403196,1.9199182152382872,1.589866168456511,,,,,1.175892599687275,1.323346582677939,1.1758925996872749,0.5121959647171147,0.5218159543535248,0.565175402574282,6.7,57.73588948752736,
4.3696608543396,389,4,50000.0,1.6968478838829884,1.6968478838829884,1.6968478838829884,1.91,38.556535928728394,0.09973557011108974,0.8739321827888489,160.66794585651067,315.70787688822077,77.23730574004608,85.21724093176786,-69.74275002172331,219.30932643708923,165,316,77,85.21306901661306,-69.74265972364286,219.2500000020713,1.3617923907330718,1.658921911077801,1.8130419600929988,2.1603832481723027,5.28117176581831,5.6070771928317304,3.6045683262182555,3.936947417900474,0.5308072176448432,0.0,5.281715944429096,0.0,1.631926804149464,5.610151101122769,5.281715944429095,0.0,1.3596802631318803,0.0,0.4789177923946101,1.6463980942761882,1.3596802631318803,3.127330702888897,,,,,1.4888995599269939,1.6885510338889274,1.4888995599269936,0.4421514309769269,0.45326049007202057,0.5400958121011901,6.7,26.377547699933178,
4.985195159912109,431,5,50000.0,1.6968478838829884,1.6968478838829884,1.6968478838829884,1.91,38.556535928728394,0.09973557011108974,0.9970390796661377,189.2473594224804,338.5226441277384,77.25834709514538,85.18962859861739,-69.73519007055337,219.3145867758646,189,338,79,85.18986890577608,-69.73536391292927,219.75000000212512,1.7825336891330006,2.1096170466385034,3.0086995115643735,4.146489286760696,1.6379147476826736,1.969733906549607,4.819221533839814,7.755479748572276,1.0318132845201178,0.0,1.7870799923410225,0.0,0.6277144636081421,2.1579233702441076,1.7870799923410223,0.0,1.6329532064035759,0.0,0.5570138009979733,1.9148723956636198,1.6329532064035757,1.3337960035601253,,,,,0.9491139369204674,1.1293990365791355,0.9491139369204673,0.745533274312321,0.7521748779720275,1.0366223218017148,6.7,51.96171431543425,
4.401904582977295,653,6,50000.0,1.6968478838829884,1.6968478838829884,1.6968478838829884,1.91,38.556535928728394,0.09973557011108974,0.8803809285163879,455.1687044492362,1002.1665516143169,83.18731948878808,84.93352458735802,-69.51418721431804,220.79682987443476,457,999,86,84.93178115851373,-69.51524289469977,221.5000000023134,3.923264470636401,4.752578254569286,3.6692255507652396,4.318819805805125,2.8775018398355936,2.99682191968184,6.05977042933016,7.982803151001023,1.0750886468072771,4.102971410660567,4.327457408509046,1.1935060038536012,1.3941661490223527,4.792790176739749,4.327457408509046,1.5817105243341554,2.223765572887935,0.4601009410512355,0.8549476860028205,2.9390936467465476,2.223765572887935,2.086492336950874,-1.0551003166389192,1.0834549187250526,2.8104918617392456,1.4153773194850559,1.7235361098830153,2.0852609224394993,1.7235361098830153,0.911868315676653,0.9173063877900122,1.0797049515674577,6.7,53.48478111170685,1701.3517909599277
10.817090034484863,4376,7,50000.0,1.6968478838829884,1.6968478838829884,1.6968478838829884,1.91,38.556535928728394,0.09973557011108974,2.1634180545806885,442.22629885404956,1007.6278119522648,87.66904989314533,84.94584898535095,-69.5123651258956,221.91726247564466,442,1007,88,84.94606479909743,-69.5125743587677,222.0000000023672,4.863000098367045,5.055726300265132,5.168854353084448,6.290474460752511,4.004093713860606,4.884172227010127,60.98891878357873,78.96805528282093,1.5694528108302774,4.506406056273894,4.933805144957179,1.3108603852297402,1.4958601603792607,5.142388435890162,4.933805144957179,4.104639423171069,3.9165167204040543,1.193991209024813,1.3945815419235112,4.794218192344314,3.9165167204040547,1.8211018123282257,-1.3204908412615677,2.811634432602368,3.0868403113759846,2.3895281515897273,2.4423082343270863,2.7586767930796694,2.4423082343270863,1.2883589461506695,1.2922135884101544,1.5726186153573418,6.7,529.0859703949002,6121.276752438658
8.332121849060059,3413,8,50000.0,1.6968478838829884,1.6968478838829884,1.6968478838829884,1.91,38.556535928728394,0.09973557011108974,1.6664243936538696,434.8795506976837,1013.7162572805975,72.23492892479177,84.95284226947027,-69.51033431435431,218.05873223314106,435,1012,71,84.95272855230058,-69.51090642210335,217.7500000019099,5.936474191993585,6.627635129728388,3.962487174344004,4.901541588543731,3.5968533384185193,4.526939499062866,40.54722313627417,50.71817855952358,1.221319854866751,6.1060615811952355,5.973422765911897,1.776181315356287,1.9167844779384875,6.589419649324393,5.973422765911897,3.827694309425625,3.5351520794980495,1.1134311409886843,1.3262622574621512,4.559353792804912,3.53515207949805,1.4439047689131563,1.4439047689131563,2.621929969561835,4.182587365010423,2.6860166329763286,2.5531431268164,3.04533248022561,2.5531431268164004,0.9855883289656713,0.9906217936925921,1.2253853972677844,6.7,339.811796348808,4166.782887065511
6.6075544357299805,995,9,50000.0,1.6968478838829884,1.6968478838829884,1.6968478838829884,1.91,38.556535928728394,0.09973557011108974,1.321510910987854,440.75228911503984,1044.116935297866,84.14354765521831,84.94723498922288,-69.50020188850102,221.03588691606805,437,1042,86,84.950807656246,-69.50090685405253,221.5000000023134,2.8698253839704897,3.61296653662485,2.523810641223105,2.691982080230807,3.330990002700645,3.4528088155222054,13.392765847615795,17.859739723230916,0.6655642614878158,3.063631380583702,3.6252662112632,0.891174244309995,1.146051571076435,3.9398350876214168,3.6252662112632,1.7012277347586218,2.4877373316659503,0.49486708829632914,0.8741487887792477,3.005102175811727,2.4877373316659503,0.6189644619790695,0.6189644619790694,1.1653229391462965,2.098554974116485,1.2684079817837388,1.6685210795877226,1.9117369212986983,1.6685210795877223,0.6230201246245772,0.6309526603736668,0.6729955201301162,6.7,119.66025614564714,584.3489838313177
12.66739559173584,1902,10,50000.0,1.6968478838829884,1.6968478838829884,1.6968478838829884,1.91,38.556535928728394,0.09973557011108974,2.5334792137145996,460.84984625278355,1026.8933159976689,78.03146846735271,84.92810891797103,-69.50594545054115,219.50786711893724,461,1026,76,84.92796612699709,-69.50624323125794,219.0000000020444,3.803332712952094,4.154524290973955,3.089744324652871,3.3262921249588038,2.7298040894002686,3.169249983250015,36.403709077632705,41.02551861403968,0.8255704224889688,3.399565365676662,3.8879240756090008,0.9888934794636136,1.22358202976789,4.206365171625468,3.8879240756090003,1.8366709142790978,2.607914200332522,0.5342659121630262,0.8970410998079871,3.0838001441265877,2.607914200332522,1.8631022718004548,-1.2784903817893385,1.2581000793382386,2.3286661878413186,1.388311294166982,1.7691514864926619,2.0010414420895444,1.7691514864926614,0.7659701793580517,0.772436081246332,0.8315730313291784,6.7,274.8709747140659,984.0755609329401
